Set_Name,Theme,Pieces,Price,Pages,Unique_Pieces,kjønn
Mythical Creatures,Creator 3-in-1,223.0,14.99,189.0,66.0,ANøytral
Race Plane,Creator 3-in-1,333.0,29.99,200.0,134.0,ANøytral
Townhouse Toy Store,Creator 3-in-1,554.0,39.99,268.0,194.0,ANøytral
Space Rover Explorer,Creator 3-in-1,510.0,39.99,276.0,206.0,ANøytral
Pirate Ship,Creator 3-in-1,1264.0,99.99,428.0,359.0,ANøytral
Vestas Wind Turbine,Creator Expert,826.0,199.99,148.0,230.0,ANøytral
Winter Village Fire Station,Creator Expert,1166.0,99.99,136.0,323.0,ANøytral
Gingerbread House,Creator Expert,1477.0,99.99,196.0,321.0,ANøytral
Ford Mustang,Creator Expert,1471.0,149.99,212.0,358.0,ANøytral
Bookshop,Creator Expert,2504.0,179.99,216.0,561.0,ANøytral
Crocodile Locomotive,Creator Expert,1271.0,99.99,132.0,212.0,ANøytral
Old Trafford - Manchester United,Creator Expert,3898.0,299.99,368.0,332.0,ANøytral
Roller Coaster,Creator Expert,4124.0,379.99,440.0,556.0,ANøytral
NASA Apollo 11 Lunar Lander,Creator Expert,1087.0,99.99,124.0,193.0,ANøytral
Harley-Davidson Fat Boy,Creator Expert,1023.0,99.99,156.0,300.0,ANøytral
Fiat 500,Creator Expert,960.0,89.99,144.0,269.0,ANøytral
James Bond Aston Martin DB5,Creator Expert,1295.0,149.99,173.0,310.0,ANøytral
Downtown Diner,Creator Expert,2480.0,169.99,200.0,508.0,ANøytral
Corner Garage,Creator Expert,2569.0,199.99,236.0,564.0,ANøytral
Haunted House,Creator Expert,3231.0,249.99,312.0,467.0,ANøytral
Speed Force Freeze Pursuit,DC,271.0,29.99,80.0,138.0,Gutt
App-Controlled Batmobile,DC,321.0,99.99,108.0,114.0,Gutt
The Bat-Dune Buggy,DC,198.0,19.99,64.0,92.0,Gutt
Superman & Krypto Team-Up,DC,199.0,19.99,76.0,110.0,Gutt
Wonder Woman vs. Cheetah,DC,371.0,39.99,84.0,130.0,Gutt
The Bat-Space Shuttle,DC,643.0,79.99,124.0,239.0,Gutt
Mobile Bat Base,DC,743.0,89.99,140.0,275.0,Gutt
The Flash,DC,122.0,9.99,40.0,47.0,Gutt
Lex Luthor Mech Takedown,DC,406.0,39.99,84.0,159.0,Gutt
Animal Picture Holders,DOTS,423.0,14.99,4.0,54.0,Jente
Creative Picture Frames,DOTS,398.0,19.99,2.0,31.0,Jente
Mini Frame,DOTS,85.0,4.99,2.0,13.0,Jente
Jewellery Box,DOTS,374.0,19.99,3.0,35.0,Jente
Pineapple Pencil Holder,DOTS,351.0,19.99,4.0,39.0,Jente
Bracelet Mega Pack,DOTS,300.0,24.99,2.0,39.0,Jente
Rainbow Jewellery Stand,DOTS,213.0,14.99,4.0,42.0,Jente
Desk Organiser,DOTS,405.0,19.99,4.0,44.0,Jente
Farm Adventures,DUPLO,104.0,59.99,40.0,42.0,ANøytral
Super Heroes Lab,DUPLO,30.0,29.99,16.0,23.0,ANøytral
My First Animal Brick Box,DUPLO,34.0,29.99,9.0,29.0,ANøytral
Large Playground Brick Box,DUPLO,71.0,49.99,32.0,49.0,ANøytral
My First Balancing Animals,DUPLO,15.0,14.99,9.0,14.0,ANøytral
Brick Box,DUPLO,65.0,29.99,20.0,46.0,ANøytral
Cargo Train,DUPLO,105.0,119.99,64.0,68.0,ANøytral
Fire Truck,DUPLO,6.0,6.99,3.0,6.0,ANøytral
Steam Train,DUPLO,59.0,59.99,48.0,38.0,ANøytral
My First Dinosaur,DUPLO,7.0,3.49,7.0,6.0,ANøytral
Playroom,DUPLO,17.0,14.99,2.0,16.0,ANøytral
Deluxe Brick Box,DUPLO,85.0,49.99,28.0,58.0,ANøytral
My First Emotions,DUPLO,28.0,19.99,9.0,24.0,ANøytral
My First Ladybird,DUPLO,6.0,4.99,9.0,5.0,ANøytral
Bakery,DUPLO,46.0,34.99,20.0,33.0,ANøytral
Police Station,DUPLO,38.0,29.99,22.0,25.0,ANøytral
My First Puzzle Pets,DUPLO,18.0,9.99,9.0,16.0,ANøytral
Fire Station,DUPLO,76.0,49.99,34.0,47.0,ANøytral
My First Tow Truck,DUPLO,11.0,9.99,10.0,10.0,ANøytral
Elsa and Olaf's Tea Party,DUPLO,17.0,19.99,12.0,13.0,ANøytral
My First Car Creations,DUPLO,34.0,19.99,10.0,31.0,ANøytral
Farm Animals,DUPLO,16.0,9.99,8.0,13.0,ANøytral
My First Celebration,DUPLO,41.0,14.99,9.0,18.0,ANøytral
Bulldozer,DUPLO,10.0,9.99,12.0,10.0,ANøytral
Farmers' Market,DUPLO,26.0,19.99,9.0,18.0,ANøytral
My First Fun Puzzle,DUPLO,15.0,19.99,9.0,15.0,ANøytral
World Animals,DUPLO,121.0,99.99,48.0,75.0,ANøytral
Pizza Stand,DUPLO,18.0,9.99,12.0,15.0,ANøytral
Tow Truck,DUPLO,7.0,6.99,3.0,7.0,ANøytral
Rapunzel's Tower,DUPLO,37.0,29.99,24.0,26.0,ANøytral
Train Tracks,DUPLO,23.0,19.99,16.0,9.0,ANøytral
Airport,DUPLO,29.0,24.99,20.0,24.0,ANøytral
My First Race Car,DUPLO,6.0,4.99,9.0,6.0,ANøytral
Police Bike,DUPLO,8.0,9.99,10.0,7.0,ANøytral
Fire Truck,DUPLO,21.0,19.99,10.0,16.0,ANøytral
Bedroom,DUPLO,16.0,14.99,2.0,16.0,ANøytral
Train Bridge and Tracks,DUPLO,26.0,24.99,16.0,10.0,ANøytral
Farm Pony Stable,DUPLO,59.0,29.99,25.0,31.0,ANøytral
Submarine Adventure,DUPLO,24.0,19.99,8.0,22.0,ANøytral
Alphabet Truck,DUPLO,36.0,24.99,1.0,35.0,ANøytral
Plane,DUPLO,12.0,9.99,10.0,11.0,ANøytral
Heart Box,DUPLO,80.0,19.99,2.0,39.0,ANøytral
Spider-Man & Hulk Adventures,DUPLO,38.0,29.99,20.0,29.0,ANøytral
Tropical Island,DUPLO,73.0,59.99,40.0,44.0,ANøytral
Baby Animals,DUPLO,9.0,9.99,8.0,9.0,ANøytral
Creative Animals,DUPLO,175.0,59.99,20.0,89.0,ANøytral
Tower Crane & Construction,DUPLO,123.0,129.99,56.0,72.0,ANøytral
Wrecking Ball Demolition,DUPLO,56.0,59.99,32.0,41.0,ANøytral
Truck & Tracked Excavator,DUPLO,20.0,19.99,16.0,19.0,ANøytral
Creative Fun,DUPLO,120.0,39.99,13.0,70.0,ANøytral
Modular Playhouse,DUPLO,129.0,59.99,84.0,56.0,ANøytral
Moana's Island Home,Disney,202.0,29.99,68.0,121.0,ANøytral
Olaf's Traveling Sleigh,Disney,97.0,12.99,44.0,52.0,ANøytral
Mickey's Vacation House,Disney,57.0,49.99,28.0,37.0,ANøytral
Aurora's Royal Carriage,Disney,62.0,9.99,28.0,35.0,ANøytral
Aladdin's and Jasmine's Palace Adventures,Disney,193.0,29.99,76.0,114.0,ANøytral
Moana's Ocean Adventure,Disney,46.0,9.99,36.0,39.0,ANøytral
Rapunzel's Castle Bedroom,Disney,156.0,19.99,56.0,93.0,ANøytral
My First Minnie Build,Disney,10.0,9.99,10.0,9.0,ANøytral
Elsa's Market Adventure,Disney,125.0,19.99,48.0,78.0,ANøytral
Mulan's Training Day,Disney,104.0,14.99,36.0,62.0,ANøytral
Duke Caboom's Stunt Show,Disney,120.0,19.99,48.0,62.0,ANøytral
My First Mickey Build,Disney,9.0,9.99,10.0,8.0,ANøytral
Buzz & Woody's Carnival Mania!,Disney,230.0,49.99,52.0,106.0,ANøytral
Jasmine's Petite Tower,Disney,49.0,9.99,24.0,35.0,ANøytral
Frozen Ice Castle,Disney,59.0,49.99,28.0,31.0,ANøytral
Ariel's Storybook Adventures,Disney,105.0,19.99,3.0,61.0,ANøytral
Buzz and Bo Peep's Playground Adventure,Disney,139.0,24.99,48.0,85.0,ANøytral
Toy Story Train,Disney,21.0,19.99,8.0,19.0,ANøytral
Mickey Mouse and Minnie Mouse,Disney,1739.0,179.99,236.0,420.0,ANøytral
Mickey's Boat,Disney,28.0,29.99,24.0,25.0,ANøytral
Cinderella's Dream Castle,Disney,585.0,69.99,132.0,218.0,ANøytral
Mulan's Storybook Adventures,Disney,124.0,19.99,3.0,72.0,ANøytral
Ariel's Undersea Castle,Disney,35.0,29.99,20.0,27.0,ANøytral
Carnival Thrill Coaster,Disney,98.0,19.99,44.0,56.0,ANøytral
Cinderella's Castle Celebration,Disney,168.0,29.99,100.0,96.0,ANøytral
Rapunzel's Small Tower,Disney,44.0,9.99,24.0,28.0,ANøytral
Lightning McQueen's Race Day,Disney,42.0,29.99,36.0,32.0,ANøytral
Sleeping Beauty's Fairytale Castle,Disney,322.0,39.99,84.0,171.0,ANøytral
Woody & RC,Disney,69.0,9.99,28.0,36.0,ANøytral
RV Vacation,Disney,178.0,34.99,72.0,106.0,ANøytral
"Ariel, Aurora, and Tiana's Royal Celebration",Disney,282.0,39.99,108.0,131.0,ANøytral
Belle's Tea Party,Disney,19.0,19.99,8.0,16.0,ANøytral
Ariel's Royal Celebration Boat,Disney,380.0,49.99,108.0,156.0,ANøytral
Belle's Castle Winter Celebration,Disney,238.0,49.99,108.0,146.0,ANøytral
Belle's Storybook Adventures,Disney,111.0,19.99,3.0,71.0,ANøytral
Ariel's Castle,Disney,115.0,24.99,56.0,74.0,ANøytral
Mulan's Training Grounds,Disney,157.0,29.99,76.0,94.0,ANøytral
Minnie's Birthday Party,Disney,21.0,19.99,12.0,18.0,ANøytral
Goofy & Pluto,Disney,214.0,14.99,76.0,94.0,ANøytral
Rapunzel's Travelling Caravan,Disney,323.0,39.99,108.0,171.0,ANøytral
Donald Duck,Disney,90.0,9.99,36.0,42.0,ANøytral
Heartlake City Resort,Friends,1017.0,99.99,208.0,326.0,Jente
Jungle Rescue Base,Friends,648.0,79.99,176.0,251.0,Jente
Stephanie's Gymnastics Show,Friends,241.0,29.99,76.0,114.0,Jente
Party Boat,Friends,640.0,79.99,184.0,270.0,Jente
Emma's Play Cube - Toy Store,Friends,49.0,9.99,5.0,42.0,Jente
Rescue Mission Boat,Friends,908.0,89.99,216.0,376.0,Jente
Emma's Art Café,Friends,378.0,32.99,112.0,166.0,Jente
Tiger Hot Air Balloon Jungle Rescue,Friends,302.0,39.99,116.0,145.0,Jente
Stephanie's Heart Box,Friends,85.0,7.99,32.0,36.0,Jente
Creative Tuning Shop,Friends,413.0,39.99,108.0,217.0,Jente
Emma's Summer Heart Box,Friends,86.0,7.99,36.0,45.0,Jente
Andrea's Summer Heart Box,Friends,83.0,7.99,36.0,46.0,Jente
Spinning Brushes Car Wash,Friends,325.0,29.99,108.0,174.0,Jente
Emma's Art Studio,Friends,235.0,24.99,60.0,122.0,Jente
Andrea's Pool Party,Friends,468.0,49.99,112.0,221.0,Jente
Mia's House,Friends,715.0,69.99,192.0,274.0,Jente
Andrea's Talent Show,Friends,492.0,49.99,124.0,184.0,Jente
Mia's Tree House,Friends,351.0,29.99,120.0,151.0,Jente
Heartlake City Amusement Pier,Friends,1251.0,129.99,316.0,433.0,Jente
Alpaca Mountain Jungle Rescue,Friends,512.0,59.99,208.0,270.0,Jente
Mia's Foal Stable ,Friends,118.0,19.99,64.0,66.0,Jente
Olivia's Heart Box,Friends,85.0,7.99,32.0,38.0,Jente
Beach House,Friends,444.0,49.99,160.0,216.0,Jente
Mia's Camper Van,Friends,488.0,54.99,116.0,222.0,Jente
Stephanie's Lakeside House,Friends,215.0,34.99,112.0,142.0,Jente
Emma's Deluxe Bedroom,Friends,183.0,14.99,68.0,105.0,Jente
Friendship Box,Friends,563.0,49.99,172.0,198.0,Jente
Mia's Play Cube - Cinema,Friends,37.0,9.99,5.0,31.0,Jente
Heartlake City Hospital,Friends,379.0,49.99,132.0,154.0,Jente
Andrea's Accessories Store,Friends,294.0,29.99,84.0,128.0,Jente
Heartlake City Restaurant,Friends,624.0,59.99,140.0,201.0,Jente
Lighthouse Rescue Centre,Friends,602.0,59.99,180.0,273.0,Jente
Drifting Diner,Friends,345.0,29.99,92.0,182.0,Jente
Olivia's Mission Vehicle,Friends,223.0,19.99,84.0,106.0,Jente
Stephanie's Summer Heart Box,Friends,95.0,7.99,40.0,52.0,Jente
Heartlake City Pet Centre,Friends,474.0,59.99,108.0,234.0,Jente
Stephanie's Sports Arena,Friends,460.0,44.99,108.0,188.0,Jente
Heartlake City Airplane,Friends,574.0,69.99,164.0,238.0,Jente
Andrea's Park Performance,Friends,229.0,24.99,80.0,126.0,Jente
Friendship Bus,Friends,778.0,69.99,236.0,286.0,Jente
Friendship House,Friends,722.0,69.99,164.0,309.0,Jente
Emma's Art Stand,Friends,210.0,19.99,60.0,107.0,Jente
Stephanie's Soccer Practice,Friends,119.0,14.99,48.0,78.0,Jente
Summer Fun Water Park,Friends,1001.0,99.99,316.0,394.0,Jente
Heartlake City Brick Box,Friends,321.0,39.99,220.0,121.0,Jente
